Type	RAM Speed↑	Supported Speed	Size	Module	Chip	SS/DS	DIMM Socket Support	OC
DDR4	Patriot	3200	2933	16GB	PV432G320C6K (11BF2)		DS	2	v
DDR4	Corsair	3333	3333	8GB	CMK32GX4M4B3333C16 ver:4.31		SS	2/4	v
DDR4	Corsair	3333	3333	8GB	CMW32GX4M4C3333C16		SS	2/4	v
DDR4	Corsair	3333	3333	8GB	CMK16GX4M2B3333C16		SS	2	v
DDR4	G.Skill	3400	3466	8GB	F4-3400C16D-16GSXW		SS	2	v
DDR4	Patriot	3400	3333	8GB	PV416G340C6K (11BF2)		SS	2	v
DDR4	Corsair	3466	3466	8GB	CMK16GX4M2B3466C16		SS	2	v
DDR4	HyperX	3600	3200	8GB	HX436C17PB3AK2/16		SS	2/4	v
DDR4	HyperX	3600	3200	8GB	HX436C17PB3A/8	Samsung B-die	SS	2/4	v
DDR4	HyperX	3600	3200	8GB	HX436C17PB3AK4/32	Samsung B-die	SS	2/4	v
DDR4	Patriot	3600	3466	8GB	PV416G360C7K (11BF1)		SS	2	v
DDR4	G.Skill	3733	3200	8GB	F4-3733C18Q-32GTZSW		SS	2	v
DDR4	Corsair	3800	3466	8GB	CMK64GX4M8X3800C19 ver4.31		SS	2	v
DDR4	G.Skill	3866	3333	8GB	F4-3866C18Q-32GTZ		SS	2	v
DDR4	HyperX	4000	3200	8GB	HX440C19PB3/8	Samsung B-die	SS	2	v
DDR4	HyperX	4000	3200	8GB	HX440C19PB3K2/16	Samsung B-die	SS	2	v
