Type	RAM Speed↑	Supported Speed	Size	Module	Chip	SS/DS	DIMM Socket Support	OC
DDR4	G.Skill	3200	3200	4GB	F4-3200C16Q-16GRK	Samsung	SS	2	v
DDR4	HyperX	3200	3200	4GB	HX432C16PBK4/16		SS	2	v
DDR4	HyperX	3200	3200	4GB	HX432C15PBK2/8		SS	2	v
DDR4	HyperX	3200	3200	4GB	HX433C16PBK4/16		SS	2	v
DDR4	Patriot	3200	3200	4GB	PV48G320C6K (11D1)	Samsung 11D1	SS	2	v
DDR4	Patriot	3200	3200	4GB	PV48G320C6K (11EC2)		SS	2	v
DDR4	Patriot	3200	3200	4GB	PV48G340C6K (11E2)		SS	2	v
DDR4	Patriot	3200	3200	4GB	PV48G340C6K (11E1)		SS	2	v
DDR4	Patriot	3200	3200	4GB	PV48G320C6K (11EC1)	Samsung E-die	SS	2	v
DDR4	ADATA	3200	3200	8GB	AX4U320038G16-DRS		SS	2	v
DDR4	ADATA	3200	3200	8GB	AX4U320038G16-BRS		SS	2	v
DDR4	ANACONDA	3200	3200	8GB	DDR4 3200 RGB ET 8GB UDIMM		SS	2/4	v
DDR4	Corsair	3200	3200	8GB	CMD16GX4M2B3200C16 ( Hynix C )	Hynix C	SS	2	v
DDR4	Corsair	3200	3200	8GB	CMR16GX4M2B3200C16	Hynix C	SS	2	v
DDR4	Corsair	3200	3200	8GB	CMD32GX4M4B3200C16 (Hynix C)	Hynix C	SS	2/4	v
DDR4	Corsair	3200	3200	8GB	CMR16GX4M2B3200C16 ( Hynix B )	Hynix B	SS	2	v
DDR4	Corsair	3200	3200	8GB	CMR16GX4M2D3200C16		SS	2	v
DDR4	Corsair	3200	3200	8GB	CMW16GX4M2C3200C16		SS	2	v
DDR4	Crucial	3200	3200	8GB	BLS8G4D32AESBK.8FE		SS	2/4	v
DDR4	HyperX	3200	3200	8GB	HX432C16PB3K2/16	Hynix M-die	SS	2	v
DDR4	KLEVV	3200	3200	8GB	IM48GU88A32-GIISEZ		DS	2	v
DDR4	Patriot	3200	3200	8GB	PVE416G320C6KGY (11BF2)		SS	2	v
DDR4	Patriot	3200	3200	8GB	PVR416G320C6K		SS	2	v
DDR4	Patriot	3200	2933	8GB	PV416G320C6K (11BF2)		SS	2	v
DDR4	Team	3200	3200	8GB	TFBD48G3200C16CBK		SS	2/4	v
DDR4	ADATA	3200	3200	16GB	AX4U3200316G16-SGZ		DS	2	v
DDR4	Corsair	3200	3200	16GB	CMD64GX4M4B3200C16 ( Hynix C )	Hynix C	DS	2/4	v
DDR4	Corsair	3200	3200	16GB	CMD32GX4M2B3200C16 ( Hynix C )	Hynix C	DS	2	v
DDR4	Corsair	3200	3200	16GB	CMR32GX4M2D3200C16		DS	2	v
DDR4	Patriot	3200	2933	16GB	PV432G320C6K (11BF2)		DS	2	v
DDR4	Corsair	3333	3333	8GB	CMK32GX4M4B3333C16 ver:4.31		SS	2/4	v
DDR4	Corsair	3333	3333	8GB	CMW32GX4M4C3333C16		SS	2/4	v
DDR4	Corsair	3333	3333	8GB	CMK16GX4M2B3333C16		SS	2	v
DDR4	Patriot	3400	3333	4GB	PV48G340C6K (11E2)		SS	2	v
DDR4	G.Skill	3400	3466	8GB	F4-3400C16D-16GSXW		SS	2	v
DDR4	Patriot	3400	3333	8GB	PV416G340C6K (11BF2)		SS	2	v
DDR4	BALLISTIX	3466	3200	8GB	BLE8G4D34AEEAK.K8FB		SS	2	v
DDR4	Corsair	3466	3466	8GB	CMK16GX4M2B3466C16		SS	2	v
DDR4	G.Skill	3600	3200	4GB	F4-3600C17Q-16GTZ	Samsung	SS	2	v
DDR4	HyperX	3600	3200	8GB	HX436C17PB3AK2/16		SS	2/4	v
DDR4	HyperX	3600	3200	8GB	HX436C17PB3A/8	Samsung B-die	SS	2/4	v
DDR4	HyperX	3600	3200	8GB	HX436C17PB3AK4/32	Samsung B-die	SS	2/4	v
DDR4	Patriot	3600	3466	8GB	PV416G360C7K (11BF1)		SS	2	v
DDR4	G.Skill	3733	3200	4GB	F4-3733C17Q-16GTZ	Samsung	SS	2	v
DDR4	G.Skill	3733	3200	8GB	F4-3733C18Q-32GTZSW		SS	2	v
DDR4	Corsair	3800	3466	8GB	CMK64GX4M8X3800C19 ver4.31		SS	2	v
DDR4	G.Skill	3866	3333	8GB	F4-3866C18Q-32GTZ		SS	2	v
DDR4	G.Skill	4000	3200	4GB	F4-4000C19D-8GTZ		SS	2	v
DDR4	HyperX	4000	3200	8GB	HX440C19PB3/8	Samsung B-die	SS	2	v
DDR4	HyperX	4000	3200	8GB	HX440C19PB3K2/16	Samsung B-die	SS	2	v
