# Vendor	Size	Interface	Length	PartNumb.                       # Ultra M.2_SSD (NGFF) Module Support List #;
Samsung 	250GB	PCIe3 x4	2280	960 EVO (MZ-V6E250) (NVME)
Samsung 	250GB	PCIe3 x4	2280	960 EVO (MZ-V6E250BW) (NVME)
WD      	250GB	PCIe3 x4	2280	WDS250G2X0C
ADATA   	256GB	PCIe3 x4	2280	ASX7000NPC-256GT-C
ADATA   	256GB	PCIe3 x4	2280	ASX8000NPC-256GM-C
ADATA   	256GB	PCIe3 x4	2280	ASX8000NP-256GM-C
ADATA   	256GB	PCIe3 x4	2280	ASX7000NP-256GT-C
ADATA   	256GB	PCIe3 x2	2280	ASX6000NP-256GT-C
Intel   	256GB	PCIe3 x4	2280	SSDPEKKF256G7 NVME
Intel   	256GB	PCIe3 x4	2280	760P-SSDPEKKW256G8 NVME
Plextor 	256GB	PCIe3 x4	2280	PX-256M8PeG
Plextor 	256GB	PCIe    	2280	PX-G256M6e
Samsung 	256GB	PCIe3 x4	2280	SM951 (MZHPV256HDGL)
Samsung 	256GB	PCIe3 x4	2280	SM951 (NVME)
Samsung 	256GB	PCIe3 x4	2280	950 Pro (MZ-V5P256BW) (NVME)
SanDisk 	256GB	PCIe    	2260	SD6PP4M-256G
Team    	256GB	PCIe3 x2	2280	TM8FP3256G0C101
TOSHIBA 	256GB	PCIe3 x4	2280	OCZ-RD400
WD      	256GB	PCIe3 x4	2280	WDS256G1X0C-00ENX0 (NVME)
WD      	256GB	PCIe3 x2	2280	SDAPNUW-256G
ADATA   	480GB	PCIe3 x4	2280	AGAMMIX S11-480GT-C
ADATA   	480GB	PCIe3 x4	2280	ASX8200NP-480GT-C
Kingston	480GB	PCIe3 x4	2280	SKC1000/480G
Kingston	480GB	PCIe3 x2	2280	SA1000M8/480G
Kingston	480GB	PCIe2 x4	2280	SH2280S3/480G
TEAM    	480GB	PCIe3 x4	2280	TM8FP2480GC110
WD      	500GB	PCIe3 x4	2280	WDS500G2X0C
ADATA   	512GB	PCIe3 x4	2280	ASX8000NP-512GM-C
ADATA   	512GB	PCIe3 x4	2280	ASX7000NPC-512GT-C
ADATA   	512GB	PCIe3 x4	2280	ASX8000NPC-512GM-C
ADATA   	512GB	PCIe3 x4	2280	ASX7000NP-512GT-C
ADATA   	512GB	PCIe3 x2	2280	ASX6000NP-512GT-C
Intel   	512GB	PCIe3 x4	2280	660P-SSDPEKNW512G8 NVME
Intel   	512GB	PCIe3 x4	2280	SSDPEKKF512G7 NVME
OCZ     	512GB	PCIe3 x4	2280	RVD400 -M2280-512G (NVME)
Plextor 	512GB	PCIe3 x4	2280	PX-512M8PeG
Plextor 	512GB	PCIe    	2280	PX-G512M6e
Samsung 	512GB	PCIe3 x4	2280	SM951 (MZHPV512HDGL)
Samsung 	512GB	PCIe3 x4	2280	SM951 (NVME)
Samsung 	512GB	PCIe3 x4	2280	950Pro (MZ-V5P512BW) (NVME)
Samsung 	512GB	PCIe2 x4	2280	XP941-512G (MZHPU512HCGL)
Team    	512GB	PCIe3 x2	2280	TM8FP3512G0C101
WD      	512GB	PCIe3 x4	2280	WDS512G1X0C-00ENX0 (NVME)
WD      	512GB	PCIe3 x2	2280	SDAPNUW-512G
Kingston	960GB	PCIe3 x4	2280	SKC1000/960GB NVME
Kingston	960GB	PCIe3 x2	2280	SA1000M8/960G
